Unnamed: 0,pickup_time,region,count
8783,2016-06-01 03:00:00,1284,2.0
8784,2016-06-01 03:00:00,1285,11.0
8785,2016-06-01 03:00:00,1286,16.0
8786,2016-06-01 03:00:00,1287,5.0
8825,2016-06-01 03:00:00,1326,6.0
8826,2016-06-01 03:00:00,1327,5.0
8830,2016-06-01 03:00:00,1331,4.0
8831,2016-06-01 03:00:00,1332,35.0
8832,2016-06-01 03:00:00,1333,23.0
8833,2016-06-01 03:00:00,1334,6.0
8834,2016-06-01 03:00:00,1335,2.0
8835,2016-06-01 03:00:00,1336,4.0
8836,2016-06-01 03:00:00,1337,11.0
8837,2016-06-01 03:00:00,1338,4.0
8838,2016-06-01 03:00:00,1339,7.0
8875,2016-06-01 03:00:00,1376,9.0
8876,2016-06-01 03:00:00,1377,4.0
8877,2016-06-01 03:00:00,1378,1.0
8879,2016-06-01 03:00:00,1380,3.0
8881,2016-06-01 03:00:00,1382,4.0
8882,2016-06-01 03:00:00,1383,14.0
8883,2016-06-01 03:00:00,1384,28.0
8884,2016-06-01 03:00:00,1385,24.0
8885,2016-06-01 03:00:00,1386,4.0
8886,2016-06-01 03:00:00,1387,6.0
8887,2016-06-01 03:00:00,1388,9.0
8888,2016-06-01 03:00:00,1389,1.0
8889,2016-06-01 03:00:00,1390,5.0
8925,2016-06-01 03:00:00,1426,4.0
8930,2016-06-01 03:00:00,1431,15.0
8933,2016-06-01 03:00:00,1434,0.0
8934,2016-06-01 03:00:00,1435,0.0
8935,2016-06-01 03:00:00,1436,7.0
8936,2016-06-01 03:00:00,1437,7.0
8937,2016-06-01 03:00:00,1438,0.0
8938,2016-06-01 03:00:00,1439,7.0
8940,2016-06-01 03:00:00,1441,0.0
8941,2016-06-01 03:00:00,1442,0.0
8979,2016-06-01 03:00:00,1480,7.0
8981,2016-06-01 03:00:00,1482,6.0
8982,2016-06-01 03:00:00,1483,1.0
9029,2016-06-01 03:00:00,1530,4.0
9031,2016-06-01 03:00:00,1532,8.0
9032,2016-06-01 03:00:00,1533,4.0
9079,2016-06-01 03:00:00,1580,3.0
9129,2016-06-01 03:00:00,1630,7.0
9183,2016-06-01 03:00:00,1684,0.0
9232,2016-06-01 03:00:00,1733,1.0
9233,2016-06-01 03:00:00,1734,44.0
9282,2016-06-01 03:00:00,1783,0.0
9567,2016-06-01 03:00:00,2068,13.0
9568,2016-06-01 03:00:00,2069,4.0
9617,2016-06-01 03:00:00,2118,51.0
9618,2016-06-01 03:00:00,2119,1.0
9667,2016-06-01 03:00:00,2168,0.0
11074,2016-06-01 04:00:00,1075,1.0
11075,2016-06-01 04:00:00,1076,8.0
11076,2016-06-01 04:00:00,1077,3.0
11124,2016-06-01 04:00:00,1125,6.0
11125,2016-06-01 04:00:00,1126,26.0
11126,2016-06-01 04:00:00,1127,27.0
11127,2016-06-01 04:00:00,1128,46.0
11128,2016-06-01 04:00:00,1129,54.0
11129,2016-06-01 04:00:00,1130,129.0
11130,2016-06-01 04:00:00,1131,11.0
11131,2016-06-01 04:00:00,1132,4.0
11171,2016-06-01 04:00:00,1172,1.0
11172,2016-06-01 04:00:00,1173,7.0
11173,2016-06-01 04:00:00,1174,6.0
11174,2016-06-01 04:00:00,1175,1.0
11175,2016-06-01 04:00:00,1176,1.0
11176,2016-06-01 04:00:00,1177,44.0
11177,2016-06-01 04:00:00,1178,53.0
11178,2016-06-01 04:00:00,1179,55.0
11179,2016-06-01 04:00:00,1180,58.0
11180,2016-06-01 04:00:00,1181,96.0
11181,2016-06-01 04:00:00,1182,120.0
11182,2016-06-01 04:00:00,1183,10.0
11183,2016-06-01 04:00:00,1184,2.0
11220,2016-06-01 04:00:00,1221,0.0
11221,2016-06-01 04:00:00,1222,2.0
11222,2016-06-01 04:00:00,1223,6.0
11223,2016-06-01 04:00:00,1224,10.0
11224,2016-06-01 04:00:00,1225,0.0
11226,2016-06-01 04:00:00,1227,41.0
11227,2016-06-01 04:00:00,1228,98.0
11228,2016-06-01 04:00:00,1229,48.0
11229,2016-06-01 04:00:00,1230,64.0
11230,2016-06-01 04:00:00,1231,83.0
11231,2016-06-01 04:00:00,1232,159.0
11232,2016-06-01 04:00:00,1233,50.0
11233,2016-06-01 04:00:00,1234,30.0
11234,2016-06-01 04:00:00,1235,9.0
11271,2016-06-01 04:00:00,1272,2.0
11272,2016-06-01 04:00:00,1273,1.0
11273,2016-06-01 04:00:00,1274,0.0
11277,2016-06-01 04:00:00,1278,3.0
11278,2016-06-01 04:00:00,1279,4.0
11279,2016-06-01 04:00:00,1280,28.0
11280,2016-06-01 04:00:00,1281,74.0
11281,2016-06-01 04:00:00,1282,73.0
11282,2016-06-01 04:00:00,1283,10.0
11283,2016-06-01 04:00:00,1284,3.0
11284,2016-06-01 04:00:00,1285,30.0
11285,2016-06-01 04:00:00,1286,26.0
11286,2016-06-01 04:00:00,1287,6.0
11325,2016-06-01 04:00:00,1326,13.0
11326,2016-06-01 04:00:00,1327,1.0
11330,2016-06-01 04:00:00,1331,2.0
11331,2016-06-01 04:00:00,1332,43.0
11332,2016-06-01 04:00:00,1333,39.0
11333,2016-06-01 04:00:00,1334,16.0
11334,2016-06-01 04:00:00,1335,3.0
11335,2016-06-01 04:00:00,1336,5.0
11336,2016-06-01 04:00:00,1337,11.0
11337,2016-06-01 04:00:00,1338,6.0
11338,2016-06-01 04:00:00,1339,0.0
11375,2016-06-01 04:00:00,1376,6.0
11376,2016-06-01 04:00:00,1377,2.0
11377,2016-06-01 04:00:00,1378,3.0
11379,2016-06-01 04:00:00,1380,4.0
11381,2016-06-01 04:00:00,1382,4.0
11382,2016-06-01 04:00:00,1383,25.0
11383,2016-06-01 04:00:00,1384,57.0
11384,2016-06-01 04:00:00,1385,33.0
11385,2016-06-01 04:00:00,1386,5.0
11386,2016-06-01 04:00:00,1387,11.0
11387,2016-06-01 04:00:00,1388,9.0
11388,2016-06-01 04:00:00,1389,5.0
11389,2016-06-01 04:00:00,1390,7.0
11425,2016-06-01 04:00:00,1426,2.0
11430,2016-06-01 04:00:00,1431,13.0
11433,2016-06-01 04:00:00,1434,0.0
11434,2016-06-01 04:00:00,1435,5.0
11435,2016-06-01 04:00:00,1436,11.0
11436,2016-06-01 04:00:00,1437,7.0
11437,2016-06-01 04:00:00,1438,4.0
11438,2016-06-01 04:00:00,1439,1.0
11440,2016-06-01 04:00:00,1441,1.0
11441,2016-06-01 04:00:00,1442,1.0
11479,2016-06-01 04:00:00,1480,8.0
11481,2016-06-01 04:00:00,1482,7.0
11482,2016-06-01 04:00:00,1483,4.0
11529,2016-06-01 04:00:00,1530,7.0
11531,2016-06-01 04:00:00,1532,10.0
11532,2016-06-01 04:00:00,1533,8.0
11579,2016-06-01 04:00:00,1580,5.0
11629,2016-06-01 04:00:00,1630,4.0
11683,2016-06-01 04:00:00,1684,0.0
11732,2016-06-01 04:00:00,1733,0.0
11733,2016-06-01 04:00:00,1734,0.0
